Team1, Team2, Score1, Score2, WinningTeam
Seattle Mariners, Boston Red Sox, 7, 3, 1
New York Mets, Chicago Cubs, 3, 4, 2
Arizona D'Backs, Cincinnati Reds, 14, 11, 1
New York Yankees, Cleveland Indians, 6, 3, 1
Pittsburgh Pirates, Detroit Tigers, 4, 2, 1
Los Angeles Angels, Houston Astros, 2, 8, 2
San Diego Padres, Los Angeles Dodgers, 3, 2, 1
Miami Marlins, San Francisco Giants, 0, 3, 2
Arizona D'Backs, Atlanta Braves, 4, 5, 2
Oakland Athletics, Baltimore Orioles, 3, 1, 1
Seattle Mariners, Boston Red Sox, 5, 6, 2
Texas Rangers, Chicago White Sox, 7, 9, 2
Milwaukee Brewers, Chicago Cubs, 2, 15, 2
New York Yankees, Cleveland Indians, 5, 3, 1
Philadelphia Phillies, Colorado Rockies, 4, 5, 2
Kansas City Royals, Detroit Tigers, 6, 2, 1
Los Angeles Angels, Houston Astros, 4, 5, 2
San Diego Padres, Los Angeles Dodgers, 6, 1, 1
Pittsburgh Pirates, Minnesota Twins, 0, 2, 2
Washington Nationals, New York Mets, 0, 6, 2
Miami Marlins, San Francisco Giants, 3, 5, 2
Cincinnati Reds, St. Louis Cardinals, 4, 5, 2
Toronto Blue Jays, Tampa Bay Rays, 5, 3, 1
Oakland Athletics, Baltimore Orioles, 7, 2, 1
Seattle Mariners, Boston Red Sox, 8, 2, 1
Texas Rangers, Chicago White Sox, 1, 2, 2
Milwaukee Brewers, Chicago Cubs, 4, 3, 1
New York Yankees, Cleveland Indians, 2, 1, 1
Philadelphia Phillies, Colorado Rockies, 7, 5, 1
Kansas City Royals, Detroit Tigers, 2, 1, 1
Los Angeles Angels, Houston Astros, 2, 16, 2
San Diego Padres, Los Angeles Dodgers, 4, 5, 2
Pittsburgh Pirates, Minnesota Twins, 6, 2, 1
Washington Nationals, New York Mets, 7, 1, 1
Miami Marlins, San Francisco Giants, 5, 2, 1
Cincinnati Reds, St. Louis Cardinals, 0, 2, 2
Toronto Blue Jays, Tampa Bay Rays, 3, 5, 2
Arizona D'Backs, Atlanta Braves, 5, 0, 1
Arizona D'Backs, Atlanta Braves, 7, 0, 1
Oakland Athletics, Baltimore Orioles, 1, 8, 2
Seattle Mariners, Boston Red Sox, 3, 5, 2
Texas Rangers, Chicago White Sox, 4, 8, 2
Milwaukee Brewers, Chicago Cubs, 6, 0, 1
New York Yankees, Cleveland Indians, 3, 7, 2
Philadelphia Phillies, Colorado Rockies, 2, 12, 2
Kansas City Royals, Detroit Tigers, 4, 0, 1
Los Angeles Angels, Houston Astros, 4, 2, 1
San Diego Padres, Los Angeles Dodgers, 8, 7, 1
Pittsburgh Pirates, Minnesota Twins, 6, 2, 1
Washington Nationals, New York Mets, 0, 4, 2
Miami Marlins, San Francisco Giants, 3, 4, 2
Cincinnati Reds, St. Louis Cardinals, 2, 5, 2
Toronto Blue Jays, Tampa Bay Rays, 1, 0, 1
Chicago Cubs, Atlanta Braves, 7, 8, 2
New York Yankees, Baltimore Orioles, 2, 4, 2
Minnesota Twins, Cleveland Indians, 3, 5, 2
Kansas City Royals, Detroit Tigers, 3, 2, 1
Seattle Mariners, Houston Astros, 2, 5, 2
Cincinnati Reds, Los Angeles Dodgers, 5, 3, 1
Miami Marlins, Milwaukee Brewers, 8, 0, 1
Colorado Rockies, San Francisco Giants, 0, 12, 2
Philadelphia Phillies, St. Louis Cardinals, 2, 1, 1
Oakland Athletics, Tampa Bay Rays, 2, 1, 1
Los Angeles Angels, Texas Rangers, 9, 4, 1
San Diego Padres, Arizona D'Backs, 1, 5, 2
Chicago Cubs, Atlanta Braves, 0, 5, 2
New York Yankees, Baltimore Orioles, 5, 1, 1
Detroit Tigers, Chicago White Sox, 5, 2, 1
Minnesota Twins, Cleveland Indians, 4, 7, 2
Seattle Mariners, Houston Astros, 0, 2, 2
Cincinnati Reds, Los Angeles Dodgers, 6, 5, 1
Miami Marlins, Milwaukee Brewers, 4, 5, 2
Boston Red Sox, New York Mets, 2, 1, 1
Kansas City Royals, Pittsburgh Pirates, 1, 2, 2
Colorado Rockies, San Francisco Giants, 7, 5, 1
Philadelphia Phillies, St. Louis Cardinals, 2, 5, 2
Oakland Athletics, Tampa Bay Rays, 3, 4, 2
Los Angeles Angels, Texas Rangers, 1, 6, 2
