Team1, Team2, Score1, Score2, WinningTeam
Miami Marlins, Baltimore Orioles, 7, 8, 2
Toronto Blue Jays, Boston Red Sox, 4, 1, 1
Toronto Blue Jays, Boston Red Sox, 1, 4, 2
Cincinnati Reds, Chicago Cubs, 8, 2, 1
St. Louis Cardinals, Cleveland Indians, 2, 7, 2
Chicago White Sox, Kansas City Royals, 2, 3, 2
Detroit Tigers, Minnesota Twins, 17, 14, 1
Atlanta Braves, New York Mets, 1, 2, 2
Milwaukee Brewers, Pittsburgh Pirates, 7, 3, 1
Oakland Athletics, San Diego Padres, 10, 4, 1
Houston Astros, Seattle Mariners, 11, 4, 1
Los Angeles Dodgers, San Francisco Giants, 8, 0, 1
New York Yankees, Tampa Bay Rays, 3, 1, 1
Arizona D'Backs, Texas Rangers, 3, 2, 1
Oakland Athletics, Los Angeles Angels, 4, 0, 1
Toronto Blue Jays, Boston Red Sox, 13, 1, 1
Cincinnati Reds, Chicago Cubs, 7, 4, 1
Baltimore Orioles, Detroit Tigers, 2, 6, 2
Chicago White Sox, Kansas City Royals, 0, 5, 2
Atlanta Braves, New York Mets, 6, 3, 1
Washington Nationals, Philadelphia Phillies, 3, 1, 1
Washington Nationals, Philadelphia Phillies, 8, 11, 2
Milwaukee Brewers, Pittsburgh Pirates, 12, 0, 1
Colorado Rockies, San Diego Padres, 0, 3, 2
Los Angeles Dodgers, San Francisco Giants, 0, 5, 2
New York Yankees, Tampa Bay Rays, 0, 14, 2
Oakland Athletics, Los Angeles Angels, 2, 0, 1
Los Angeles Dodgers, Arizona D'Backs, 5, 6, 2
Milwaukee Brewers, Atlanta Braves, 9, 5, 1
Cleveland Indians, Chicago White Sox, 4, 6, 2
Baltimore Orioles, Detroit Tigers, 4, 3, 1
New York Yankees, Miami Marlins, 3, 1, 1
Cincinnati Reds, New York Mets, 6, 2, 1
Philadelphia Phillies, Pittsburgh Pirates, 0, 7, 2
Colorado Rockies, San Diego Padres, 9, 4, 1
Houston Astros, San Francisco Giants, 9, 6, 1
Minnesota Twins, St. Louis Cardinals, 1, 5, 2
Boston Red Sox, Tampa Bay Rays, 3, 7, 2
Seattle Mariners, Texas Rangers, 9, 5, 1
Kansas City Royals, Toronto Blue Jays, 4, 6, 2
Chicago Cubs, Washington Nationals, 3, 4, 2
Oakland Athletics, Los Angeles Angels, 0, 1, 2
Los Angeles Dodgers, Arizona D'Backs, 8, 3, 1
Milwaukee Brewers, Atlanta Braves, 1, 8, 2
Cleveland Indians, Chicago White Sox, 12, 11, 1
Baltimore Orioles, Detroit Tigers, 5, 2, 1
New York Yankees, Miami Marlins, 4, 2, 1
Cincinnati Reds, New York Mets, 4, 5, 2
Philadelphia Phillies, Pittsburgh Pirates, 2, 3, 2
Colorado Rockies, San Diego Padres, 5, 3, 1
Houston Astros, San Francisco Giants, 6, 8, 2
Minnesota Twins, St. Louis Cardinals, 8, 1, 1
Boston Red Sox, Tampa Bay Rays, 5, 9, 2
Seattle Mariners, Texas Rangers, 4, 5, 2
Kansas City Royals, Toronto Blue Jays, 0, 4, 2
Chicago Cubs, Washington Nationals, 6, 3, 1
Oakland Athletics, Los Angeles Angels, 8, 3, 1
Los Angeles Dodgers, Arizona D'Backs, 13, 0, 1
Milwaukee Brewers, Atlanta Braves, 2, 1, 1
Cleveland Indians, Chicago White Sox, 1, 2, 2
Baltimore Orioles, Detroit Tigers, 2, 6, 2
New York Yankees, Miami Marlins, 3, 1, 1
Cincinnati Reds, New York Mets, 7, 1, 1
Philadelphia Phillies, Pittsburgh Pirates, 15, 4, 1
Colorado Rockies, San Diego Padres, 1, 8, 2
Houston Astros, San Francisco Giants, 3, 5, 2
Minnesota Twins, St. Louis Cardinals, 3, 7, 2
Boston Red Sox, Tampa Bay Rays, 2, 3, 2
Seattle Mariners, Texas Rangers, 3, 4, 2
Kansas City Royals, Toronto Blue Jays, 1, 5, 2
Chicago Cubs, Washington Nationals, 5, 6, 2
San Francisco Giants, Arizona D'Backs, 11, 8, 1
New York Mets, Miami Marlins, 3, 6, 2
Pittsburgh Pirates, Milwaukee Brewers, 2, 6, 2
Baltimore Orioles, New York Yankees, 7, 1, 1
Seattle Mariners, Tampa Bay Rays, 8, 2, 1
Los Angeles Angels, Texas Rangers, 1, 4, 2
Cleveland Indians, Toronto Blue Jays, 5, 2, 1
Philadelphia Phillies, Washington Nationals, 7, 5, 1
San Francisco Giants, Arizona D'Backs, 1, 3, 2
Kansas City Royals, Chicago White Sox, 1, 7, 2
Minnesota Twins, Cincinnati Reds, 7, 5, 1
Chicago Cubs, Colorado Rockies, 6, 13, 2
Boston Red Sox, Detroit Tigers, 2, 4, 2
Houston Astros, Los Angeles Dodgers, 3, 0, 1
New York Mets, Miami Marlins, 4, 5, 2
Pittsburgh Pirates, Milwaukee Brewers, 8, 5, 1
Baltimore Orioles, New York Yankees, 1, 13, 2
San Diego Padres, Oakland Athletics, 8, 1, 1
Atlanta Braves, St. Louis Cardinals, 6, 1, 1
Seattle Mariners, Tampa Bay Rays, 4, 2, 1
Los Angeles Angels, Texas Rangers, 11, 3, 1
Cleveland Indians, Toronto Blue Jays, 2, 7, 2
Philadelphia Phillies, Washington Nationals, 5, 4, 1
San Francisco Giants, Arizona D'Backs, 7, 1, 1
Kansas City Royals, Chicago White Sox, 9, 1, 1
Minnesota Twins, Cincinnati Reds, 5, 6, 2
Chicago Cubs, Colorado Rockies, 3, 2, 1
Boston Red Sox, Detroit Tigers, 4, 1, 1
Houston Astros, Los Angeles Dodgers, 5, 7, 2
New York Mets, Miami Marlins, 5, 3, 1
Pittsburgh Pirates, Milwaukee Brewers, 2, 4, 2
Baltimore Orioles, New York Yankees, 3, 10, 2
San Diego Padres, Oakland Athletics, 4, 5, 2
Atlanta Braves, St. Louis Cardinals, 7, 4, 1
Seattle Mariners, Tampa Bay Rays, 3, 4, 2
Los Angeles Angels, Texas Rangers, 2, 1, 1
Cleveland Indians, Toronto Blue Jays, 6, 8, 2
Philadelphia Phillies, Washington Nationals, 9, 5, 1
San Francisco Giants, Arizona D'Backs, 5, 4, 1
Kansas City Royals, Chicago White Sox, 3, 2, 1
Pittsburgh Pirates, Cincinnati Reds, 4, 7, 2
Chicago Cubs, Colorado Rockies, 5, 6, 2
Boston Red Sox, Detroit Tigers, 1, 8, 2
Minnesota Twins, Houston Astros, 5, 3, 1
New York Mets, Miami Marlins, 2, 4, 2
Seattle Mariners, New York Yankees, 3, 5, 2
Atlanta Braves, St. Louis Cardinals, 8, 4, 1
Los Angeles Angels, Texas Rangers, 5, 0, 1
Cleveland Indians, Toronto Blue Jays, 0, 3, 2
Philadelphia Phillies, Washington Nationals, 7, 6, 1
Washington Nationals, Atlanta Braves, 4, 8, 2
Tampa Bay Rays, Baltimore Orioles, 10, 6, 1
Chicago White Sox, Chicago Cubs, 8, 6, 1
Pittsburgh Pirates, Cincinnati Reds, 0, 10, 2
Detroit Tigers, Cleveland Indians, 1, 6, 2
Miami Marlins, Colorado Rockies, 2, 14, 2
Minnesota Twins, Houston Astros, 5, 4, 1
Los Angeles Angels, Los Angeles Dodgers, 4, 3, 1
San Francisco Giants, Milwaukee Brewers, 1, 2, 2
Seattle Mariners, New York Yankees, 2, 3, 2
Texas Rangers, Oakland Athletics, 1, 4, 2
New York Mets, Philadelphia Phillies, 2, 4, 2
Arizona D'Backs, San Diego Padres, 8, 5, 1
Kansas City Royals, St. Louis Cardinals, 2, 4, 2
Boston Red Sox, Toronto Blue Jays, 4, 12, 2
Washington Nationals, Atlanta Braves, 3, 2, 1
Tampa Bay Rays, Baltimore Orioles, 12, 3, 1
Chicago White Sox, Chicago Cubs, 4, 0, 1
Pittsburgh Pirates, Cincinnati Reds, 3, 11, 2
Detroit Tigers, Cleveland Indians, 2, 1, 1
Miami Marlins, Colorado Rockies, 4, 7, 2
Minnesota Twins, Houston Astros, 0, 4, 2
Los Angeles Angels, Los Angeles Dodgers, 3, 5, 2
San Francisco Giants, Milwaukee Brewers, 9, 6, 1
Seattle Mariners, New York Yankees, 4, 5, 2
Texas Rangers, Oakland Athletics, 3, 12, 2
New York Mets, Philadelphia Phillies, 3, 5, 2
Arizona D'Backs, San Diego Padres, 2, 6, 2
Kansas City Royals, St. Louis Cardinals, 2, 5, 2
Boston Red Sox, Toronto Blue Jays, 0, 1, 2
Boston Red Sox, Toronto Blue Jays, 2, 1, 1
Washington Nationals, Atlanta Braves, 4, 5, 2
Tampa Bay Rays, Baltimore Orioles, 9, 6, 1
Chicago White Sox, Chicago Cubs, 9, 3, 1
Pittsburgh Pirates, Cincinnati Reds, 2, 3, 2
Detroit Tigers, Cleveland Indians, 5, 7, 2
Miami Marlins, Colorado Rockies, 8, 13, 2
Minnesota Twins, Houston Astros, 7, 5, 1
Los Angeles Angels, Los Angeles Dodgers, 2, 8, 2
San Francisco Giants, Milwaukee Brewers, 5, 4, 1
Seattle Mariners, New York Yankees, 2, 0, 1
Texas Rangers, Oakland Athletics, 3, 6, 2
New York Mets, Philadelphia Phillies, 0, 3, 2
Arizona D'Backs, San Diego Padres, 0, 2, 2
Kansas City Royals, St. Louis Cardinals, 6, 5, 1
Boston Red Sox, Toronto Blue Jays, 8, 9, 2
Cincinnati Reds, Cleveland Indians, 3, 9, 2
New York Yankees, Kansas City Royals, 8, 6, 1
Chicago White Sox, Minnesota Twins, 11, 1, 1
Miami Marlins, San Diego Padres, 3, 8, 2
Toronto Blue Jays, Los Angeles Angels, 3, 6, 2
Toronto Blue Jays, Los Angeles Angels, 4, 0, 1
Cincinnati Reds, Atlanta Braves, 2, 3, 2
Detroit Tigers, Baltimore Orioles, 9, 4, 1
Tampa Bay Rays, Boston Red Sox, 8, 4, 1
Milwaukee Brewers, Chicago Cubs, 4, 2, 1
Milwaukee Brewers, Chicago Cubs, 6, 3, 1
Oakland Athletics, Cleveland Indians, 4, 3, 1
Colorado Rockies, Houston Astros, 0, 5, 2
New York Yankees, Kansas City Royals, 4, 8, 2
Chicago White Sox, Minnesota Twins, 3, 4, 2
Washington Nationals, New York Mets, 7, 8, 2
Los Angeles Dodgers, Philadelphia Phillies, 5, 0, 1
St. Louis Cardinals, Pittsburgh Pirates, 4, 1, 1
Miami Marlins, San Diego Padres, 5, 6, 2
Texas Rangers, Seattle Mariners, 5, 4, 1
Arizona D'Backs, San Francisco Giants, 7, 8, 2
Toronto Blue Jays, Los Angeles Angels, 10, 2, 1
Cincinnati Reds, Atlanta Braves, 6, 8, 2
Detroit Tigers, Baltimore Orioles, 5, 2, 1
Tampa Bay Rays, Boston Red Sox, 8, 20, 2
Milwaukee Brewers, Chicago Cubs, 10, 0, 1
Oakland Athletics, Cleveland Indians, 6, 3, 1
Colorado Rockies, Houston Astros, 1, 5, 2
New York Yankees, Kansas City Royals, 5, 2, 1
Chicago White Sox, Minnesota Twins, 0, 1, 2
Los Angeles Dodgers, Philadelphia Phillies, 8, 2, 1
St. Louis Cardinals, Pittsburgh Pirates, 4, 0, 1
Miami Marlins, San Diego Padres, 7, 0, 1
Texas Rangers, Seattle Mariners, 1, 2, 2
Arizona D'Backs, San Francisco Giants, 2, 7, 2
Toronto Blue Jays, Los Angeles Angels, 3, 6, 2
San Diego Padres, Arizona D'Backs, 3, 12, 2
Cincinnati Reds, Atlanta Braves, 12, 3, 1
Detroit Tigers, Baltimore Orioles, 6, 4, 1
Tampa Bay Rays, Boston Red Sox, 8, 1, 1
New York Yankees, Chicago White Sox, 8, 9, 2
Milwaukee Brewers, Chicago Cubs, 17, 4, 1
Oakland Athletics, Cleveland Indians, 17, 0, 1
Washington Nationals, New York Mets, 1, 4, 2
Washington Nationals, New York Mets, 4, 5, 2
Los Angeles Dodgers, Philadelphia Phillies, 1, 2, 2
St. Louis Cardinals, Pittsburgh Pirates, 7, 6, 1
Texas Rangers, Seattle Mariners, 1, 3, 2
Colorado Rockies, San Francisco Giants, 0, 7, 2
Houston Astros, Los Angeles Angels, 4, 1, 1
San Diego Padres, Arizona D'Backs, 2, 3, 2
Baltimore Orioles, Boston Red Sox, 1, 8, 2
Cleveland Indians, Detroit Tigers, 7, 4, 1
St. Louis Cardinals, Kansas City Royals, 6, 0, 1
Chicago Cubs, Miami Marlins, 10, 14, 2
Tampa Bay Rays, Minnesota Twins, 10, 4, 1
Los Angeles Dodgers, New York Mets, 6, 5, 1
Cincinnati Reds, Philadelphia Phillies, 6, 1, 1
Toronto Blue Jays, Seattle Mariners, 2, 3, 2
Colorado Rockies, San Francisco Giants, 4, 5, 2
Oakland Athletics, Texas Rangers, 6, 8, 2
Atlanta Braves, Washington Nationals, 4, 2, 1
Houston Astros, Los Angeles Angels, 8, 2, 1
San Diego Padres, Arizona D'Backs, 0, 7, 2
Baltimore Orioles, Boston Red Sox, 2, 16, 2
New York Yankees, Chicago White Sox, 7, 5, 1
Cleveland Indians, Detroit Tigers, 4, 6, 2
St. Louis Cardinals, Kansas City Royals, 9, 4, 1
Chicago Cubs, Miami Marlins, 4, 5, 2
Tampa Bay Rays, Minnesota Twins, 0, 12, 2
Los Angeles Dodgers, New York Mets, 2, 1, 1
Cincinnati Reds, Philadelphia Phillies, 1, 6, 2
Milwaukee Brewers, Pittsburgh Pirates, 4, 14, 2
Milwaukee Brewers, Pittsburgh Pirates, 6, 0, 1
Toronto Blue Jays, Seattle Mariners, 3, 9, 2
Colorado Rockies, San Francisco Giants, 4, 1, 1
Oakland Athletics, Texas Rangers, 8, 3, 1
Atlanta Braves, Washington Nationals, 12, 2, 1
Houston Astros, Los Angeles Angels, 1, 3, 2
San Diego Padres, Arizona D'Backs, 8, 2, 1
Baltimore Orioles, Boston Red Sox, 2, 6, 2
New York Yankees, Chicago White Sox, 5, 3, 1
Cleveland Indians, Detroit Tigers, 11, 0, 1
St. Louis Cardinals, Kansas City Royals, 7, 2, 1
Chicago Cubs, Miami Marlins, 1, 4, 2
Tampa Bay Rays, Minnesota Twins, 4, 5, 2
Los Angeles Dodgers, New York Mets, 14, 4, 1
Cincinnati Reds, Philadelphia Phillies, 7, 4, 1
Milwaukee Brewers, Pittsburgh Pirates, 2, 1, 1
Toronto Blue Jays, Seattle Mariners, 8, 3, 1
Colorado Rockies, San Francisco Giants, 2, 5, 2
Oakland Athletics, Texas Rangers, 4, 7, 2
Atlanta Braves, Washington Nationals, 6, 5, 1
Oakland Athletics, Chicago White Sox, 2, 5, 2
Chicago Cubs, Cincinnati Reds, 5, 14, 2
San Diego Padres, Colorado Rockies, 5, 6, 2
Houston Astros, Kansas City Royals, 6, 7, 2
Pittsburgh Pirates, Los Angeles Dodgers, 1, 2, 2
Atlanta Braves, Miami Marlins, 12, 2, 1
Cleveland Indians, Minnesota Twins, 4, 5, 2
Los Angeles Angels, New York Yankees, 1, 2, 2
New York Mets, San Francisco Giants, 5, 7, 2
Baltimore Orioles, Tampa Bay Rays, 2, 9, 2
Philadelphia Phillies, Arizona D'Backs, 2, 3, 2
Oakland Athletics, Chicago White Sox, 0, 9, 2
Chicago Cubs, Cincinnati Reds, 2, 1, 1
San Diego Padres, Colorado Rockies, 3, 7, 2
Los Angeles Angels, Detroit Tigers, 8, 2, 1
Houston Astros, Kansas City Royals, 1, 3, 2
Pittsburgh Pirates, Los Angeles Dodgers, 3, 4, 2
Atlanta Braves, Miami Marlins, 2, 0, 1
Cleveland Indians, Minnesota Twins, 3, 1, 1
Boston Red Sox, New York Yankees, 3, 5, 2
Boston Red Sox, New York Yankees, 0, 2, 2
New York Mets, San Francisco Giants, 2, 3, 2
Milwaukee Brewers, St. Louis Cardinals, 2, 0, 1
Baltimore Orioles, Tampa Bay Rays, 0, 10, 2
Seattle Mariners, Texas Rangers, 3, 1, 1
Toronto Blue Jays, Washington Nationals, 6, 12, 2
Philadelphia Phillies, Arizona D'Backs, 2, 4, 2
Oakland Athletics, Chicago White Sox, 2, 3, 2
Chicago Cubs, Cincinnati Reds, 7, 1, 1
San Diego Padres, Colorado Rockies, 5, 7, 2
Los Angeles Angels, Detroit Tigers, 3, 1, 1
Houston Astros, Kansas City Royals, 2, 3, 2
Pittsburgh Pirates, Los Angeles Dodgers, 0, 9, 2
Atlanta Braves, Miami Marlins, 11, 9, 1
Cleveland Indians, Minnesota Twins, 7, 8, 2
Boston Red Sox, New York Yankees, 2, 5, 2
New York Mets, San Francisco Giants, 6, 2, 1
Milwaukee Brewers, St. Louis Cardinals, 6, 4, 1
Baltimore Orioles, Tampa Bay Rays, 4, 8, 2
Seattle Mariners, Texas Rangers, 3, 1, 1
Toronto Blue Jays, Washington Nationals, 5, 8, 2
Philadelphia Phillies, Arizona D'Backs, 2, 6, 2
Oakland Athletics, Chicago White Sox, 5, 4, 1
Miami Marlins, Cincinnati Reds, 1, 6, 2
Los Angeles Angels, Detroit Tigers, 13, 10, 1
Houston Astros, Kansas City Royals, 6, 3, 1
New York Mets, Los Angeles Dodgers, 1, 4, 2
Minnesota Twins, New York Yankees, 5, 7, 2
Milwaukee Brewers, St. Louis Cardinals, 4, 8, 2
Baltimore Orioles, Tampa Bay Rays, 2, 7, 2
Seattle Mariners, Texas Rangers, 9, 8, 1
Atlanta Braves, Baltimore Orioles, 3, 0, 1
Texas Rangers, Boston Red Sox, 0, 6, 2
Kansas City Royals, Chicago Cubs, 6, 2, 1
Miami Marlins, Cincinnati Reds, 3, 5, 2
Los Angeles Angels, Cleveland Indians, 1, 9, 2
Arizona D'Backs, Colorado Rockies, 4, 9, 2
Seattle Mariners, Houston Astros, 3, 12, 2
New York Mets, Los Angeles Dodgers, 2, 3, 2
Washington Nationals, Milwaukee Brewers, 4, 1, 1
Minnesota Twins, New York Yankees, 2, 10, 2
San Francisco Giants, Oakland Athletics, 1, 4, 2
Philadelphia Phillies, San Diego Padres, 4, 3, 1
Pittsburgh Pirates, St. Louis Cardinals, 4, 0, 1
Chicago White Sox, Tampa Bay Rays, 7, 5, 1
Detroit Tigers, Toronto Blue Jays, 4, 1, 1
Atlanta Braves, Baltimore Orioles, 5, 4, 1
Texas Rangers, Boston Red Sox, 10, 1, 1
Kansas City Royals, Chicago Cubs, 4, 2, 1
Miami Marlins, Cincinnati Reds, 4, 7, 2
Los Angeles Angels, Cleveland Indians, 1, 5, 2
Arizona D'Backs, Colorado Rockies, 2, 5, 2
Seattle Mariners, Houston Astros, 1, 15, 2
New York Mets, Los Angeles Dodgers, 3, 4, 2
Washington Nationals, Milwaukee Brewers, 6, 9, 2
Minnesota Twins, New York Yankees, 1, 7, 2
San Francisco Giants, Oakland Athletics, 6, 5, 1
Philadelphia Phillies, San Diego Padres, 3, 4, 2
Pittsburgh Pirates, St. Louis Cardinals, 5, 4, 1
Chicago White Sox, Tampa Bay Rays, 4, 8, 2
Detroit Tigers, Toronto Blue Jays, 0, 3, 2
Atlanta Braves, Baltimore Orioles, 3, 1, 1
Kansas City Royals, Chicago Cubs, 9, 1, 1
Miami Marlins, Cincinnati Reds, 1, 3, 2
Los Angeles Angels, Cleveland Indians, 0, 3, 2
Arizona D'Backs, Colorado Rockies, 8, 4, 1
Seattle Mariners, Houston Astros, 6, 3, 1
New York Mets, Los Angeles Dodgers, 7, 2, 1
Washington Nationals, Milwaukee Brewers, 3, 7, 2
San Francisco Giants, Oakland Athletics, 2, 1, 1
Philadelphia Phillies, San Diego Padres, 7, 4, 1
Pittsburgh Pirates, St. Louis Cardinals, 0, 3, 2
Chicago White Sox, Tampa Bay Rays, 0, 9, 2
Detroit Tigers, Toronto Blue Jays, 5, 3, 1
New York Yankees, Atlanta Braves, 5, 1, 1
Texas Rangers, Boston Red Sox, 4, 8, 2
Colorado Rockies, Chicago Cubs, 4, 6, 2
Kansas City Royals, Houston Astros, 7, 1, 1
Seattle Mariners, Oakland Athletics, 5, 3, 1
Arizona D'Backs, Pittsburgh Pirates, 5, 6, 2
Chicago White Sox, Toronto Blue Jays, 1, 2, 2
New York Yankees, Atlanta Braves, 5, 4, 1
Los Angeles Angels, Baltimore Orioles, 14, 8, 1
Minnesota Twins, Boston Red Sox, 9, 11, 2
Texas Rangers, Cleveland Indians, 7, 3, 1
Kansas City Royals, Houston Astros, 0, 4, 2
Washington Nationals, Miami Marlins, 5, 1, 1
Cincinnati Reds, Milwaukee Brewers, 4, 7, 2
San Francisco Giants, New York Mets, 8, 0, 1
Seattle Mariners, Oakland Athletics, 5, 1, 1
Tampa Bay Rays, Philadelphia Phillies, 3, 1, 1
Arizona D'Backs, Pittsburgh Pirates, 2, 4, 2
Los Angeles Dodgers, San Diego Padres, 5, 2, 1
Detroit Tigers, St. Louis Cardinals, 4, 3, 1
Chicago White Sox, Toronto Blue Jays, 5, 2, 1
Los Angeles Angels, Baltimore Orioles, 6, 10, 2
Minnesota Twins, Boston Red Sox, 9, 6, 1
Colorado Rockies, Chicago Cubs, 2, 5, 2
Colorado Rockies, Chicago Cubs, 13, 10, 1
Texas Rangers, Cleveland Indians, 2, 7, 2
Kansas City Royals, Houston Astros, 5, 6, 2
Washington Nationals, Miami Marlins, 3, 4, 2
Cincinnati Reds, Milwaukee Brewers, 1, 4, 2
San Francisco Giants, New York Mets, 3, 2, 1
Tampa Bay Rays, Philadelphia Phillies, 7, 4, 1
Arizona D'Backs, Pittsburgh Pirates, 5, 2, 1
Los Angeles Dodgers, San Diego Padres, 5, 3, 1
Detroit Tigers, St. Louis Cardinals, 2, 3, 2
Chicago White Sox, Toronto Blue Jays, 1, 3, 2
Los Angeles Angels, Baltimore Orioles, 1, 13, 2
Minnesota Twins, Boston Red Sox, 2, 12, 2
Texas Rangers, Cleveland Indians, 6, 10, 2
Washington Nationals, Miami Marlins, 5, 7, 2
Cincinnati Reds, Milwaukee Brewers, 5, 1, 1
San Francisco Giants, New York Mets, 3, 2, 1
New York Yankees, Oakland Athletics, 7, 6, 1
Arizona D'Backs, Philadelphia Phillies, 8, 7, 1
St. Louis Cardinals, Pittsburgh Pirates, 7, 11, 2
Los Angeles Dodgers, San Diego Padres, 4, 0, 1
Kansas City Royals, Seattle Mariners, 6, 4, 1
Chicago White Sox, Toronto Blue Jays, 10, 7, 1
San Diego Padres, Los Angeles Angels, 5, 0, 1
San Francisco Giants, Atlanta Braves, 5, 6, 2
Tampa Bay Rays, Baltimore Orioles, 6, 3, 1
Chicago Cubs, Chicago White Sox, 13, 17, 2
Boston Red Sox, Cleveland Indians, 4, 3, 1
Toronto Blue Jays, Detroit Tigers, 1, 2, 2
Colorado Rockies, Los Angeles Dodgers, 4, 2, 1
Cincinnati Reds, Miami Marlins, 6, 0, 1
Milwaukee Brewers, Minnesota Twins, 0, 2, 2
Washington Nationals, New York Mets, 2, 1, 1
New York Yankees, Oakland Athletics, 8, 2, 1
Arizona D'Backs, Philadelphia Phillies, 6, 7, 2
St. Louis Cardinals, Pittsburgh Pirates, 4, 3, 1
Kansas City Royals, Seattle Mariners, 8, 7, 1
Houston Astros, Texas Rangers, 5, 4, 1
San Diego Padres, Los Angeles Angels, 2, 10, 2
San Francisco Giants, Atlanta Braves, 5, 0, 1
Tampa Bay Rays, Baltimore Orioles, 4, 3, 1
Chicago Cubs, Chicago White Sox, 7, 0, 1
Boston Red Sox, Cleveland Indians, 5, 3, 1
Toronto Blue Jays, Detroit Tigers, 3, 2, 1
Colorado Rockies, Los Angeles Dodgers, 2, 5, 2
Cincinnati Reds, Miami Marlins, 1, 6, 2
Milwaukee Brewers, Minnesota Twins, 4, 6, 2
Washington Nationals, New York Mets, 3, 5, 2
New York Yankees, Oakland Athletics, 2, 3, 2
Arizona D'Backs, Philadelphia Phillies, 0, 7, 2
St. Louis Cardinals, Pittsburgh Pirates, 13, 0, 1
Kansas City Royals, Seattle Mariners, 4, 2, 1
Houston Astros, Texas Rangers, 5, 2, 1
San Francisco Giants, Atlanta Braves, 0, 9, 2
Tampa Bay Rays, Baltimore Orioles, 12, 8, 1
Chicago Cubs, Chicago White Sox, 1, 13, 2
Boston Red Sox, Cleveland Indians, 5, 7, 2
Toronto Blue Jays, Detroit Tigers, 2, 1, 1
Colorado Rockies, Los Angeles Dodgers, 5, 0, 1
Cincinnati Reds, Miami Marlins, 1, 2, 2
Milwaukee Brewers, Minnesota Twins, 6, 2, 1
Washington Nationals, New York Mets, 4, 9, 2
New York Yankees, Oakland Athletics, 1, 3, 2
Arizona D'Backs, Philadelphia Phillies, 4, 7, 2
St. Louis Cardinals, Pittsburgh Pirates, 3, 4, 2
Kansas City Royals, Seattle Mariners, 3, 4, 2
Houston Astros, Texas Rangers, 2, 13, 2
New York Yankees, Los Angeles Angels, 7, 8, 2
San Diego Padres, Arizona D'Backs, 7, 5, 1
St. Louis Cardinals, Cincinnati Reds, 3, 1, 1
Minnesota Twins, Detroit Tigers, 3, 2, 1
Atlanta Braves, Los Angeles Dodgers, 3, 5, 2
Houston Astros, Seattle Mariners, 4, 3, 1
Milwaukee Brewers, San Francisco Giants, 3, 1, 1
Boston Red Sox, Tampa Bay Rays, 1, 6, 2
Colorado Rockies, Texas Rangers, 3, 4, 2
Baltimore Orioles, Toronto Blue Jays, 3, 7, 2
Philadelphia Phillies, Washington Nationals, 7, 4, 1
New York Yankees, Los Angeles Angels, 4, 6, 2
San Diego Padres, Arizona D'Backs, 3, 0, 1
Pittsburgh Pirates, Chicago White Sox, 2, 4, 2
Oakland Athletics, Detroit Tigers, 9, 3, 1
Cleveland Indians, Kansas City Royals, 7, 2, 1
Atlanta Braves, Los Angeles Dodgers, 2, 3, 2
Chicago Cubs, Minnesota Twins, 3, 1, 1
Miami Marlins, New York Mets, 1, 3, 2
Houston Astros, Seattle Mariners, 0, 4, 2
Milwaukee Brewers, San Francisco Giants, 6, 2, 1
Boston Red Sox, Tampa Bay Rays, 5, 8, 2
Colorado Rockies, Texas Rangers, 3, 4, 2
Baltimore Orioles, Toronto Blue Jays, 4, 2, 1
Philadelphia Phillies, Washington Nationals, 12, 6, 1
New York Yankees, Los Angeles Angels, 4, 1, 1
San Diego Padres, Arizona D'Backs, 3, 8, 2
Pittsburgh Pirates, Chicago White Sox, 3, 6, 2
St. Louis Cardinals, Cincinnati Reds, 5, 4, 1
St. Louis Cardinals, Cincinnati Reds, 2, 12, 2
Oakland Athletics, Detroit Tigers, 6, 8, 2
Cleveland Indians, Kansas City Royals, 5, 3, 1
Atlanta Braves, Los Angeles Dodgers, 3, 4, 2
Chicago Cubs, Minnesota Twins, 3, 0, 1
Houston Astros, Seattle Mariners, 0, 1, 2
Milwaukee Brewers, San Francisco Giants, 5, 2, 1
Boston Red Sox, Tampa Bay Rays, 3, 2, 1
Colorado Rockies, Texas Rangers, 9, 5, 1
Baltimore Orioles, Toronto Blue Jays, 4, 5, 2
Pittsburgh Pirates, Chicago Cubs, 5, 6, 2
Atlanta Braves, Colorado Rockies, 6, 5, 1
Oakland Athletics, Detroit Tigers, 8, 6, 1
Cleveland Indians, Kansas City Royals, 4, 2, 1
Miami Marlins, New York Mets, 3, 4, 2
Milwaukee Brewers, San Francisco Giants, 1, 5, 2
Boston Red Sox, Tampa Bay Rays, 4, 0, 1
Philadelphia Phillies, Washington Nationals, 7, 6, 1
Texas Rangers, Los Angeles Angels, 2, 3, 2
Seattle Mariners, Arizona D'Backs, 6, 5, 1
Cleveland Indians, Boston Red Sox, 5, 8, 2
Pittsburgh Pirates, Chicago Cubs, 5, 6, 2
Detroit Tigers, Cincinnati Reds, 15, 5, 1
Atlanta Braves, Colorado Rockies, 3, 4, 2
Chicago White Sox, Kansas City Royals, 2, 7, 2
Philadelphia Phillies, Miami Marlins, 3, 10, 2
St. Louis Cardinals, Milwaukee Brewers, 15, 4, 1
Baltimore Orioles, New York Yankees, 3, 4, 2
Houston Astros, San Diego Padres, 6, 3, 1
Los Angeles Dodgers, San Francisco Giants, 2, 3, 2
Minnesota Twins, Tampa Bay Rays, 3, 5, 2
